State,Latitude,Longitude,Year
District of Columbia,38.897438,-77.026817,2015
Florida,27.766279,-81.686783,2015
Georgia,33.040619,-83.643074,2015
Hawaii,21.094318,-157.498337,2015
Idaho,44.240459,-114.478828,2015
Illinois,40.349457,-88.986137,2015
Indiana,39.849426,-86.258278,2015
Iowa,42.011539,-93.210526,2015
Kansas,38.5266,-96.726486,2015
Kentucky,37.66814,-84.670067,2015
Louisiana,31.169546,-91.867805,2015
Maine,44.693947,-69.381927,2015
Maryland,39.063946,-76.802101,2015
Massachusetts,42.230171,-71.530106,2015
Michigan,43.326618,-84.536095,2015
Minnesota,45.694454,-93.900192,2015
Mississippi,32.741646,-89.678696,2015
Missouri,38.456085,-92.288368,2015
Montana,46.921925,-110.454353,2015
Nebraska,41.12537,-98.268082,2015
Nevada,38.313515,-117.055374,2015
New Hampshire,43.452492,-71.563896,2015
New Jersey,40.298904,-74.521011,2015
New Mexico,34.840515,-106.248482,2015
New York,42.165726,-74.948051,2015
North Carolina,35.630066,-79.806419,2015
North Dakota,47.528912,-99.784012,2015
Ohio,40.388783,-82.764915,2015
Oklahoma,35.565342,-96.928917,2015
Oregon,44.572021,-122.070938,2015
Pennsylvania,40.590752,-77.209755,2015
Rhode Island,41.680893,-71.51178,2015
South Carolina,33.856892,-80.945007,2015
South Dakota,44.299782,-99.438828,2015
Tennessee,35.747845,-86.692345,2015
Texas,31.054487,-97.563461,2015
Utah,40.150032,-111.862434,2015
Vermont,44.045876,-72.710686,2015
Virginia,37.769337,-78.169968,2015
Washington,47.400902,-121.490494,2015
West Virginia,38.491226,-80.954453,2015
Wisconsin,44.268543,-89.616508,2015
Wyoming,42.755966,-107.30249,2015
Alabama,32.806671,-86.79113,2016
Alaska,61.370716,-152.404419,2016
Arizona,33.729759,-111.431221,2016
Arkansas,34.969704,-92.373123,2016
California,36.116203,-119.681564,2016
Colorado,39.059811,-105.311104,2016
Connecticut,41.597782,-72.755371,2016
Delaware,39.318523,-75.507141,2016
District of Columbia,38.897438,-77.026817,2016
Florida,27.766279,-81.686783,2016
Georgia,33.040619,-83.643074,2016
Hawaii,21.094318,-157.498337,2016
Idaho,44.240459,-114.478828,2016
Illinois,40.349457,-88.986137,2016
Indiana,39.849426,-86.258278,2016
Iowa,42.011539,-93.210526,2016
Kansas,38.5266,-96.726486,2016
Kentucky,37.66814,-84.670067,2016
Louisiana,31.169546,-91.867805,2016
Maine,44.693947,-69.381927,2016
Maryland,39.063946,-76.802101,2016
Massachusetts,42.230171,-71.530106,2016
Michigan,43.326618,-84.536095,2016
Minnesota,45.694454,-93.900192,2016
Mississippi,32.741646,-89.678696,2016
Missouri,38.456085,-92.288368,2016
Montana,46.921925,-110.454353,2016
Nebraska,41.12537,-98.268082,2016
Nevada,38.313515,-117.055374,2016
New Hampshire,43.452492,-71.563896,2016
New Jersey,40.298904,-74.521011,2016
New Mexico,34.840515,-106.248482,2016
New York,42.165726,-74.948051,2016
North Carolina,35.630066,-79.806419,2016
North Dakota,47.528912,-99.784012,2016
Ohio,40.388783,-82.764915,2016
Oklahoma,35.565342,-96.928917,2016
Oregon,44.572021,-122.070938,2016
Pennsylvania,40.590752,-77.209755,2016
Rhode Island,41.680893,-71.51178,2016
South Carolina,33.856892,-80.945007,2016
South Dakota,44.299782,-99.438828,2016
Tennessee,35.747845,-86.692345,2016
Texas,31.054487,-97.563461,2016
Utah,40.150032,-111.862434,2016
Vermont,44.045876,-72.710686,2016
Virginia,37.769337,-78.169968,2016
Washington,47.400902,-121.490494,2016
West Virginia,38.491226,-80.954453,2016
Wisconsin,44.268543,-89.616508,2016
Wyoming,42.755966,-107.30249,2016
